ff,city,state,pop,obese
20,Folsom,CA,1450121,26.700000
32,Fontana,CA,2081313,26.800000
1,Foothill Farms,CA,1450121,26.700000
5,Foothill Ranch,CA,3090132,21.700000
1,Fort Irwin,CA,2081313,26.800000
2,Fort Tejon,CA,10818947,26.900000
3,Fortuna,CA,134827,25.600000
5,Foster City,CA,739311,21.400000
11,Fountain Valley,CA,3090132,21.700000
3,Freedom,CA,266776,21.333333
39,Fremont,CA,3392224,22.133333
110,Fresno,CA,947895,27.633333
1,Ft Bragg,CA,87428,23.900000
28,Fullerton,CA,3090132,21.700000
9,Galt,CA,2152733,28.366666
30,Garden Grove,CA,3090132,21.700000
19,Gardena,CA,9962789,22.300000
29,Gilroy,CA,1894388,24.200000
2,Glen Avon,CA,4350096,26.800000
26,Glendale,CA,9962789,22.300000
8,Glendora,CA,9962789,22.300000
8,Goleta,CA,431249,21.066666
1,Gonzales,CA,426762,23.100000
4,Gorman,CA,10818947,26.900000
9,Granada Hills,CA,9962789,22.300000
5,Granite Bay,CA,361682,22.433333
6,Grass Valley,CA,98292,21.033333
1,Greenfield,CA,426762,23.100000
5,Gridley,CA,316561,25.500000
3,Grover Beach,CA,274804,21.933333
1,Grover City,CA,274804,21.933333
2,Gustine,CA,784031,29.100000
10,Hacienda Heights,CA,9962789,22.300000
2,Half Moon Bay,CA,739311,21.400000
23,Hanford,CA,603341,28.266666
2,Harbor City,CA,9962789,22.300000
5,Hawaiian Gardens,CA,9962789,22.300000
16,Hawthorne,CA,9962789,22.300000
31,Hayward,CA,1554720,21.700000
4,Healdsburg,CA,491829,23.166666
17,Hemet,CA,2268783,26.233333
4,Hercules,CA,1079597,24.066666
2,Hermosa Beach,CA,9962789,22.300000
14,Hesperia,CA,2081313,26.800000
9,Highland,CA,2081313,26.800000
4,Highland Park,CA,9962789,22.300000
2,Hilmar,CA,784031,29.100000
11,Hollister,CA,1894388,24.200000
9,Hollywood,CA,9962789,22.300000
36,Huntington Beach,CA,3090132,21.700000
11,Huntington Park,CA,9962789,22.300000
6,Imperial Beach,CA,3177063,23.400000
9,Indio,CA,2268783,26.233333
23,Inglewood,CA,9962789,22.300000
32,Irvine,CA,3090132,21.700000
3,Irwindale,CA,9962789,22.300000
3,Jackson,CA,37035,23.933333
2,Jurupa,CA,4350096,26.800000
1,Kearny Mesa,CA,3177063,23.400000
7,Kerman,CA,1100113,28.000000
5,Kettleman City,CA,151364,25.300000
